,title,text,date
0,Mockups of 'iPhone 12' demonstrate flat sides and smaller dimensions,AAPL: 152.59 ( +2.12 ). Toggle navigation Close Nav. AppleInsider Logo · News · How-Tos. Apple A-Z. AirPods · Apple TV · Apple Watch · HomePod · iPad...,"Feb 1, 2020"
1,Here's How Social Security Spends $1 Trillion a Year,aaplgoogfbamznnflx. Data is currently not available. Edit My Quotes. Add up to 25 symbols. To add symbols: Type a symbol or company name.,"Feb 1, 2020"
2,"Apple Closes Chinese Stores, Corporate Offices Due to ...","AAPL -1.39%decrease; red down pointing triangle said Saturday it will close its stores and corporate offices in China until Feb. 9, a significant escalation in...","Feb 1, 2020"
3,'Fiscal deficit target indicates govt spending may not drive economy in FY21',"Adani Enterpris INE423A01024, ADANIENT, 512599 · Reliance INE002A01018, RELIANCE, 500325 · Apple US0378331005, AAPL:US · Adani Power INE814H01011,...","Feb 1, 2020"
4,Budget 2020: FM Nirmala Sitharaman moots LIC IPO; govt to sell part stake in insurance major,"Adani Enterpris INE423A01024, ADANIENT, 512599 · Reliance INE002A01018, RELIANCE, 500325 · Apple US0378331005, AAPL:US · Adani Power INE814H01011,...","Feb 1, 2020"
5,Budget 2020: Education sector allocation up 5%,"Adani Enterpris INE423A01024, ADANIENT, 512599 · Reliance INE002A01018, RELIANCE, 500325 · Apple US0378331005, AAPL:US · Adani Power INE814H01011,...","Feb 1, 2020"
6,Budget 2020: What the five archaeological sites mentioned by FM Sitharaman have to offer,"... Yes Bank INE528G01035, YESBANK, 532648 · Apple US0378331005, AAPL:US · Adani Power INE814H01011, ADANIPOWER, 533096 · Microsoft US5949181045, MSFT:US.","Feb 1, 2020"
7,Budget 2020: Tax incentives for startups expanded,"... Yes Bank INE528G01035, YESBANK, 532648 · Apple US0378331005, AAPL:US · Adani Power INE814H01011, ADANIPOWER, 533096 · Microsoft US5949181045, MSFT:US.","Feb 1, 2020"
8,Nirbhaya case: Tihar jail authorities move Delhi High court against stay on rapists' February 1 hanging,"Adani Enterpris INE423A01024, ADANIENT, 512599 · Reliance INE002A01018, RELIANCE, 500325 · Apple US0378331005, AAPL:US · Adani Power INE814H01011,...","Feb 1, 2020"
9,Twitter rolls out threaded replies to streamline conversations ...,Reviews · How Tos · AAPL · Apple Store · Apple Arcade · Apple Card · Apple Silicon · Apple One · CarPlay · Siri · HomeKit. Toggle dark mode.,"Feb 1, 2020"
